precinct no,precinct name,zone name,zone no
5,ATGLEN,OXGrove,3
10,AVONDALE,KAD,8
14,BIRMINGHAM 1,Thornbury,6
15,BIRMINGHAM 2,Thornbury,6
20,E BRADFORD N-1,Bradford,7
21,E BRADFORD N-2,Bradford,7
23,E BRADFORD S-1,Bradford,7
24,E BRADFORD S-2,Bradford,7
25,W BRADFORD 1,Bradford,7
30,W BRADFORD 2,Bradford,7
31,W BRADFORD 3,Bradford,7
32,W BRADFORD 4,Bradford,7
33,W BRADFORD 5,Bradford,7
35,E BRANDYWINE N-1,Central Chester,10
36,E BRANDYWINE N-2,Central Chester,10
38,E BRANDYWINE S,Central Chester,10
40,W BRANDYWINE E-1,Central Chester,10
41,W BRANDYWINE E-2,Central Chester,10
43,W BRANDYWINE W,Central Chester,10
45,CALN 1,Caln,5
50,CALN 2,Caln,5
53,CALN 3,Caln,5
54,CALN 4,Caln,5
55,EAST CALN 1,Caln,5
56,EAST CALN 2,Caln,5
60,WEST CALN 1,Western Chester County,2
61,WEST CALN 2,Western Chester County,2
65,CHARLESTOWN,E Whiteland,13
70,COATESVILLE 1,Coatesville,20
80,COATESVILLE 2,Coatesville,20
90,COATESVILLE 3,Coatesville,20
100,COATESVILLE 4-1,Coatesville,20
110,COATESVILLE 4-2,Coatesville,20
120,COATESVILLE 5,Coatesville,20
140,S COATESVILLE,Brandywine Valley,4
145,N COVENTRY E,Chester County,1
150,N COVENTRY M,Chester County,1
155,N COVENTRY W-1,Chester County,1
156,N COVENTRY W-2,Chester County,1
160,E COVENTRY 1,Chester County,1
165,E COVENTRY 2,Chester County,1
170,S COVENTRY,Chester County,1
175,E DOWNINGTOWN E,Caln,5
180,E DOWNINGTOWN W,Caln,5
185,W DOWNINGTOWN N,Caln,5
190,W DOWNINGTOWN S,Caln,5
195,EASTTOWN 1,Easttown,15
198,EASTTOWN 2,Easttown,15
201,EASTTOWN 3,Easttown,15
204,EASTTOWN 4,Easttown,15
207,EASTTOWN 5,Easttown,15
210,EASTTOWN 6,Easttown,15
213,EASTTOWN 7,Easttown,15
215,ELK,OXGrove,3
220,ELVERSON,Western Chester County,2
225,E FALLOWFIELD E,Brandywine Valley,4
230,E FALLOWFIELD W,Brandywine Valley,4
235,W FALLOWFIELD,OXGrove,3
240,FRANKLIN,OXGrove,3
243,E GOSHEN 1,E Goshen,17
244,E GOSHEN 2,E Goshen,17
245,E GOSHEN 3,E Goshen,17
246,E GOSHEN 4,E Goshen,17
247,E GOSHEN 5,E Goshen,17
248,E GOSHEN 6,E Goshen,17
249,E GOSHEN 7,E Goshen,17
250,E GOSHEN 8,E Goshen,17
251,E GOSHEN 9,E Goshen,17
255,W GOSHEN N-1,W GOSHEN,18
260,W GOSHEN N-2,W GOSHEN,18
261,W GOSHEN N-3,W GOSHEN,18
262,W GOSHEN N-4,W GOSHEN,18
265,W GOSHEN M-1,W GOSHEN,18
270,W GOSHEN M-2,W GOSHEN,18
275,W GOSHEN S-1,W GOSHEN,18
280,W GOSHEN S-2,W GOSHEN,18
285,W GOSHEN S-3,W GOSHEN,18
286,W GOSHEN S-4,W GOSHEN,18
290,HIGHLAND,OXGrove,3
295,HONEY BROOK BOROUGH,Western Chester County,2
300,HONEY BROOK TOWNSHIP 1,Western Chester County,2
301,HONEY BROOK TOWNSHIP 2,Western Chester County,2
305,KENNETT SQUARE N,KAD,8
310,KENNETT SQUARE S-1,KAD,8
315,KENNETT SQUARE S-2,KAD,8
320,KENNETT TOWNSHIP 1,KAD,8
325,KENNETT TOWNSHIP 2,KAD,8
328,KENNETT TOWNSHIP 3,KAD,8
329,KENNETT TOWNSHIP 4,KAD,8
330,LONDON BRITAIN,KAD,8
335,LONDONDERRY,OXGrove,3
340,LONDON GROVE CH,OXGrove,3
345,LONDON GROVE S,OXGrove,3
350,MALVERN,Malvern Willistown,16
355,E MARLBOROUGH E,KAD,8
356,E MARLBOROUGH S - 01,KAD,8
356,E MARLBOROUGH S - 02,KAD,8
360,E MARLBOROUGH W,KAD,8
365,W MARLBOROUGH,KAD,8
370,MODENA,Brandywine Valley,4
375,E NANTMEAL,Chester County,1
380,W NANTMEAL,Western Chester County,2
385,NEW GARDEN N,KAD,8
390,NEW GARDEN S-1,KAD,8
391,NEW GARDEN S-2,KAD,8
395,NEW LONDON,OXGrove,3
400,NEWLIN,KAD,8
405,E NOTTINGHAM E,OXGrove,3
406,E NOTTINGHAM W,OXGrove,3
410,W NOTTINGHAM,OXGrove,3
415,OXFORD E,OXGrove,3
420,OXFORD W,OXGrove,3
425,LOWER OXFORD E,OXGrove,3
430,LOWER OXFORD W,OXGrove,3
435,UPPER OXFORD,OXGrove,3
440,PARKESBURG N,Brandywine Valley,4
445,PARKESBURG S,Brandywine Valley,4
450,PENN,OXGrove,3
453,PENNSBURY N-1,KAD,8
454,PENNSBURY N-2,KAD,8
456,PENNSBURY S-1,KAD,8
457,PENNSBURY S-2,KAD,8
461,PHOENIXVILLE N-1,Phoenixville,19
462,PHOENIXVILLE N-2,Phoenixville,19
463,PHOENIXVILLE N-3,Phoenixville,19
467,PHOENIXVILLE M-1 - 01,Phoenixville,19
468,PHOENIXVILLE M-1 - 02,Phoenixville,19
469,PHOENIXVILLE M-3,Phoenixville,19
472,PHOENIXVILLE E-1,Phoenixville,19
473,PHOENIXVILLE E-2,Phoenixville,19
474,PHOENIXVILLE E-3,Phoenixville,19
477,PHOENIXVILLE W-1,Phoenixville,19
478,PHOENIXVILLE W-2,Phoenixville,19
479,PHOENIXVILLE W-3,Phoenixville,19
515,E PIKELAND 1,NCDC,11
520,E PIKELAND 2,NCDC,11
521,E PIKELAND 3,NCDC,11
525,W PIKELAND,Central Chester,10
530,POCOPSON,KAD,8
535,SADSBURY N,Brandywine Valley,4
540,SADSBURY S,Brandywine Valley,4
545,W SADSBURY,Western Chester County,2
550,SCHUYLKILL 1,NCDC,11
555,SCHUYLKILL 2,NCDC,11
556,SCHUYLKILL 3,NCDC,11
558,SCHUYLKILL 4,NCDC,11
560,SPRING CITY 1,NCDC,11
565,SPRING CITY 2,NCDC,11
570,SPRING CITY 3,NCDC,11
575,SPRING CITY 4,NCDC,11
580,THORNBURY 1,Thornbury,6
581,THORNBURY 2,Thornbury,6
585,TREDYFFRIN E-1,Tredyffrin,12
590,TREDYFFRIN E-2,Tredyffrin,12
595,TREDYFFRIN E-3,Tredyffrin,12
600,TREDYFFRIN E-4,Tredyffrin,12
605,TREDYFFRIN E-5,Tredyffrin,12
614,TREDYFFRIN M-1,Tredyffrin,12
615,TREDYFFRIN M-2,Tredyffrin,12
616,TREDYFFRIN M-3,Tredyffrin,12
617,TREDYFFRIN M-4,Tredyffrin,12
618,TREDYFFRIN M-5,Tredyffrin,12
619,TREDYFFRIN M-6,Tredyffrin,12
620,TREDYFFRIN M-7,Tredyffrin,12
630,TREDYFFRIN W-1,Tredyffrin,12
635,TREDYFFRIN W-2,Tredyffrin,12
640,TREDYFFRIN W-3,Tredyffrin,12
645,TREDYFFRIN W-4,Tredyffrin,12
647,TREDYFFRIN W-5,Tredyffrin,12
653,UWCHLAN 1,Central Chester,10
654,UWCHLAN 2,Central Chester,10
655,UWCHLAN 3,Central Chester,10
656,UWCHLAN 4,Central Chester,10
657,UWCHLAN 5,Central Chester,10
658,UWCHLAN 6,Central Chester,10
659,UWCHLAN 7,Central Chester,10
660,UWCHLAN 8,Central Chester,10
661,UWCHLAN 9,Central Chester,10
665,UPPER UWCHLAN 1,Central Chester,10
666,UPPER UWCHLAN 2,Central Chester,10
667,UPPER UWCHLAN 3,Central Chester,10
670,VALLEY N-1,Brandywine Valley,4
671,VALLEY N-2,Brandywine Valley,4
672,VALLEY N-3,Brandywine Valley,4
675,VALLEY S,Brandywine Valley,4
680,E VINCENT 1,Chester County,1
681,E VINCENT 2,Chester County,1
682,E VINCENT 3,Chester County,1
683,E VINCENT 4,Chester County,1
690,W VINCENT 1,Chester County,1
693,W VINCENT 2,Chester County,1
695,WALLACE,Western Chester County,2
700,WARWICK E,Chester County,1
705,WARWICK W,Chester County,1
710,WEST GROVE 1,OXGrove,3
715,WEST GROVE 2,OXGrove,3
720,WESTTOWN 1,Thornbury,6
725,WESTTOWN 2,Thornbury,6
730,WESTTOWN 3,Thornbury,6
733,WESTTOWN 4,Thornbury,6
734,WESTTOWN 5,Thornbury,6
735,E WHITELAND 1,E Whiteland,13
740,E WHITELAND 2,E Whiteland,13
745,E WHITELAND 3,E Whiteland,13
750,E WHITELAND 4,E Whiteland,13
752,E WHITELAND 5,E Whiteland,13
754,E WHITELAND 6,E Whiteland,13
759,W WHITELAND 1,W Whiteland,14
760,W WHITELAND 2,W Whiteland,14
761,W WHITELAND 3,W Whiteland,14
762,W WHITELAND 4,W Whiteland,14
763,W WHITELAND 5,W Whiteland,14
764,W WHITELAND 6,W Whiteland,14
765,W WHITELAND 7,W Whiteland,14
770,WILLISTOWN N-1,Malvern Willistown,16
775,WILLISTOWN N-2,Malvern Willistown,16
780,WILLISTOWN N-3,Malvern Willistown,16
785,WILLISTOWN N-4,Malvern Willistown,16
790,WILLISTOWN N-5,Malvern Willistown,16
795,WILLISTOWN N-6,Malvern Willistown,16
800,WILLISTOWN S-1,Malvern Willistown,16
805,WILLISTOWN S-2,Malvern Willistown,16
806,WILLISTOWN S-3,Malvern Willistown,16
810,WEST CHESTER 1,West Chester,9
820,WEST CHESTER 2-E,West Chester,9
825,WEST CHESTER 2-W,West Chester,9
835,WEST CHESTER 3,West Chester,9
842,WEST CHESTER 4,West Chester,9
846,WEST CHESTER 5,West Chester,9
850,WEST CHESTER 6,West Chester,9
860,WEST CHESTER 7,West Chester,9
